publisher_name,match_type,keyword_group,clicks,spend,bookings,revenue,roas,cvr,ctr,recommendation,rationale
Google - US,Broad,Google|Barcelona,1317,2517.94,1,1851.3,0.7352,0.0008,0.0455,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Yahoo - US,Advanced,Europe,300,746.2,1,516.8,0.6926,0.0033,0.0289,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|Europe,3925,10195.46,1,5877.75,0.5765,0.0003,0.0271,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - Global,Broad,Marseille,207,349.74,1,167.45,0.4788,0.0048,0.0193,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Nice,2133,4807.8,9,1961.8,0.408,0.0042,0.0873,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
MSN - US,Broad,France,406,1272.82,1,512.55,0.4027,0.0025,0.007,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - Global,Broad,Tour de France,1032,3343.14,1,1098.2,0.3285,0.001,0.0444,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Athens,1495,2267.86,1,722.5,0.3186,0.0007,0.0511,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
MSN - US,Broad,Paris,1026,2790.67,1,629.0,0.2254,0.001,0.0239,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Madrid,395,450.8,1,94.35,0.2093,0.0025,0.0153,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|Italy,1779,5337.56,1,1045.5,0.1959,0.0006,0.0229,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
MSN - Global,Broad,France,591,3230.36,1,390.15,0.1208,0.0017,0.0166,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|Spain,4176,12894.07,1,1275.0,0.0989,0.0002,0.0455,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Business Class - Generic,358,2028.01,1,144.5,0.0713,0.0028,0.0351,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|Flights Relaunch,3557,14118.0,1,871.25,0.0617,0.0003,0.011,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Europe,2201,5631.99,1,96.9,0.0172,0.0005,0.0184,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - Global,Broad,Bordeaux,112,198.54,0,0.0,0.0,0.0,0.0064,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Bordeaux,395,1230.41,0,0.0,0.0,0.0,0.0863,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|Delhi,367,865.35,0,0.0,0.0,0.0,0.0454,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|Discount Airfare,160,954.84,0,0.0,0.0,0.0,0.0061,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|Florence,248,569.31,0,0.0,0.0,0.0,0.027,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|Geneva,121,410.11,0,0.0,0.0,0.0,0.0554,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|Germany,1414,2530.54,0,0.0,0.0,0.0,0.0446,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|Greece,847,2871.54,0,0.0,0.0,0.0,0.0304,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|International Airfare,164,591.79,0,0.0,0.0,0.0,0.0324,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|International Flights,382,1053.4,0,0.0,0.0,0.0,0.0307,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|International General,448,1030.57,0,0.0,0.0,0.0,0.0277,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|Istanbul,121,207.5,0,0.0,0.0,0.0,0.0349,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|London,260,473.96,0,0.0,0.0,0.0,0.0308,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|Madrid,248,692.29,0,0.0,0.0,0.0,0.0233,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|Milan,341,573.64,0,0.0,0.0,0.0,0.0453,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|Turkey,2981,7001.57,0,0.0,0.0,0.0,0.0479,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|UK,250,1076.15,0,0.0,0.0,0.0,0.0341,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|Venice,412,980.54,0,0.0,0.0,0.0,0.0223,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|cairo,265,812.21,0,0.0,0.0,0.0,0.0478,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|dubai,757,1676.71,0,0.0,0.0,0.0,0.0439,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|johannesburg,200,555.08,0,0.0,0.0,0.0,0.071,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|kiev,122,332.96,0,0.0,0.0,0.0,0.0565,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|marrakech,223,648.91,0,0.0,0.0,0.0,0.0761,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|moscow,177,557.91,0,0.0,0.0,0.0,0.0359,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|nairobi,172,491.54,0,0.0,0.0,0.0,0.0555,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|prague,490,1188.97,0,0.0,0.0,0.0,0.0594,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|sofia,165,460.27,0,0.0,0.0,0.0,0.0475,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Google|split,181,592.04,0,0.0,0.0,0.0,0.0341,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Greece,600,1507.5,0,0.0,0.0,0.0,0.0292,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Houston to Rome Sale,229,774.37,0,0.0,0.0,0.0,0.0296,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,India,214,594.34,0,0.0,0.0,0.0,0.0248,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Lyon,521,1252.16,0,0.0,0.0,0.0,0.0883,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Milan,253,311.07,0,0.0,0.0,0.0,0.0218,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Rome,1490,2638.27,0,0.0,0.0,0.0,0.0255,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Turkey,753,1650.31,0,0.0,0.0,0.0,0.0421,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,UK,101,297.97,0,0.0,0.0,0.0,0.0462,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,Broad,Venice,306,426.14,0,0.0,0.0,0.0,0.0192,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,,Google|Discount Airfare,135,36.82,0,0.0,0.0,0.0,0.0009,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Google - US,,Google|International General,420,94.54,0,0.0,0.0,0.0,0.007,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Yahoo - US,Advanced,Business Class - Generic,176,825.75,0,0.0,0.0,0.0,0.0076,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Yahoo - US,Advanced,Cheap International Los Angeles,114,434.95,0,0.0,0.0,0.0,0.0361,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Yahoo - US,Advanced,Cheap International San Francisco,109,410.92,0,0.0,0.0,0.0,0.0161,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Yahoo - US,Advanced,International Los Angeles,144,263.69,0,0.0,0.0,0.0,0.0302,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Yahoo - US,Advanced,International San Francisco,134,284.91,0,0.0,0.0,0.0,0.014,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Yahoo - US,Advanced,Turkey,137,479.67,0,0.0,0.0,0.0,0.0111,DECREASE_SPEND_-20%,ROAS ≤ 0.8 with volume
Yahoo - US,Advanced,Florence,31,46.71,9,8777.95,187.9144,0.2903,0.0032,HOLD,Within guardrails
Google - Global,,France,49,11.0,1,1296.25,117.8409,0.0204,0.0103,HOLD,Within guardrails
Yahoo - US,Advanced,Rome,63,104.56,4,5729.0,54.7902,0.0635,0.0031,HOLD,Within guardrails
Google - US,Broad,DC to France Sale,35,62.21,4,3300.55,53.0528,0.1143,0.0564,HOLD,Within guardrails
Google - US,Broad,Nice Branded,70,116.71,3,2470.1,21.164,0.0429,0.2869,HOLD,Within guardrails
Google - US,Broad,International Detroit,33,92.85,1,923.95,9.951,0.0303,0.0291,HOLD,Within guardrails
Google - US,Broad,New York to Florence Sale,22,53.26,1,490.45,9.2082,0.0455,0.1215,HOLD,Within guardrails
Google - US,Broad,San Francisco to Italy Sale,74,163.74,1,850.0,5.1912,0.0135,0.025,HOLD,Within guardrails
Google - US,Broad,Miami to France Sale,61,142.79,1,470.05,3.292,0.0164,0.041,HOLD,Within guardrails
Google - US,Broad,Los Angeles to France Sale,80,194.14,1,483.65,2.4913,0.0125,0.0637,HOLD,Within guardrails
Yahoo - US,Advanced,International Atlanta,77,136.97,1,170.0,1.2411,0.013,0.0356,HOLD,Within guardrails
Yahoo - US,Advanced,International DC,129,268.55,4,317.05,1.1806,0.031,0.0129,HOLD,Within guardrails
Google - US,Broad,Marseille,277,575.76,1,671.5,1.1663,0.0036,0.102,HOLD,Within guardrails
Overture - US,Advanced,Unassigned,33919,40138.92,39,46377.7,1.1554,0.0011,0.0089,HOLD,Within guardrails
Google - US,Broad,France,12001,45918.14,48,46511.15,1.0129,0.004,0.0476,HOLD,Within guardrails
Yahoo - US,Advanced,International New York,367,920.5,1,816.0,0.8865,0.0027,0.027,HOLD,Within guardrails
Google - US,Broad,Barcelona,718,1118.55,2,969.0,0.8663,0.0028,0.0247,HOLD,Within guardrails
Google - Global,Broad,Amsterdam,43,124.06,0,0.0,0.0,0.0,0.0275,HOLD,Within guardrails
Google - Global,Broad,Brussels,32,97.91,0,0.0,0.0,0.0,0.0252,HOLD,Within guardrails
Google - Global,Broad,Zurich,25,48.77,0,0.0,0.0,0.0,0.0318,HOLD,Within guardrails
Google - US,Broad,Barcelona Branded,23,17.32,0,0.0,0.0,0.0,0.1223,HOLD,Within guardrails
Google - US,Broad,Boston to France Sale,40,66.37,0,0.0,0.0,0.0,0.0209,HOLD,Within guardrails
Google - US,Broad,Business Class - Branded,28,67.3,0,0.0,0.0,0.0,0.1564,HOLD,Within guardrails
Google - US,Broad,Cheap International Detroit,35,123.4,0,0.0,0.0,0.0,0.0179,HOLD,Within guardrails
Google - US,Broad,Cheap International Los Angeles,32,110.72,0,0.0,0.0,0.0,0.0256,HOLD,Within guardrails
Google - US,Broad,Cheap International Philadelphia,20,75.97,0,0.0,0.0,0.0,0.0468,HOLD,Within guardrails
Google - US,Broad,Chicago to France Sale,49,87.07,0,0.0,0.0,0.0,0.0267,HOLD,Within guardrails
Google - US,Broad,DC to Barcelona Sale,37,99.49,0,0.0,0.0,0.0,0.0839,HOLD,Within guardrails
Google - US,Broad,DC to Italy Sale,43,115.61,0,0.0,0.0,0.0,0.0825,HOLD,Within guardrails
Google - US,Broad,DC to Rome Sale,38,115.67,0,0.0,0.0,0.0,0.0957,HOLD,Within guardrails
Google - US,Broad,Detroit to Paris Sale,21,46.04,0,0.0,0.0,0.0,0.0317,HOLD,Within guardrails
Google - US,Broad,Europe Branded,25,27.06,0,0.0,0.0,0.0,0.1214,HOLD,Within guardrails
Google - US,Broad,Europe Detroit,21,58.4,0,0.0,0.0,0.0,0.0207,HOLD,Within guardrails
Google - US,Broad,Google|Hamburg,36,105.37,0,0.0,0.0,0.0,0.0212,HOLD,Within guardrails
Google - US,Broad,Google|Overseas,44,112.21,0,0.0,0.0,0.0,0.0366,HOLD,Within guardrails
Google - US,Broad,Google|Stuttgart,41,118.07,0,0.0,0.0,0.0,0.0215,HOLD,Within guardrails
Google - US,Broad,Google|agadir,25,65.59,0,0.0,0.0,0.0,0.0633,HOLD,Within guardrails
Google - US,Broad,Google|casablanca,33,101.29,0,0.0,0.0,0.0,0.0399,HOLD,Within guardrails
Google - US,Broad,Google|dakar,41,85.06,0,0.0,0.0,0.0,0.0737,HOLD,Within guardrails
Google - US,Broad,International Los Angeles,23,62.55,0,0.0,0.0,0.0,0.0127,HOLD,Within guardrails
Google - US,Broad,New York to Athens Sale,32,73.22,0,0.0,0.0,0.0,0.1039,HOLD,Within guardrails
Google - US,Broad,New York to Barcelona Sale,49,141.91,0,0.0,0.0,0.0,0.0946,HOLD,Within guardrails
Google - US,Broad,New York to Madrid Sale,21,46.06,0,0.0,0.0,0.0,0.0533,HOLD,Within guardrails
Google - US,Broad,New York to Spain Sale,33,79.04,0,0.0,0.0,0.0,0.0476,HOLD,Within guardrails
Google - US,,Google|Delhi,48,90.01,0,0.0,0.0,0.0,0.002,HOLD,Within guardrails
Google - US,,Google|Flights Relaunch,28,8.79,0,0.0,0.0,0.0,0.0037,HOLD,Within guardrails
Google - US,,Google|Greece,33,131.34,0,0.0,0.0,0.0,0.0012,HOLD,Within guardrails
Google - US,,Google|International Airfare,34,5.66,0,0.0,0.0,0.0,0.0003,HOLD,Within guardrails
Google - US,,Google|Istanbul,32,6.86,0,0.0,0.0,0.0,0.0012,HOLD,Within guardrails
Google - US,,Google|dubai,44,67.38,0,0.0,0.0,0.0,0.0478,HOLD,Within guardrails
Google - US,,Google|tel aviv,25,27.14,0,0.0,0.0,0.0,0.0053,HOLD,Within guardrails
MSN - US,Broad,Business Class - Generic,24,128.9,0,0.0,0.0,0.0,0.0046,HOLD,Within guardrails
Yahoo - US,Advanced,Athens,22,44.81,0,0.0,0.0,0.0,0.0094,HOLD,Within guardrails
Yahoo - US,Advanced,Cheap International Atlanta,28,85.34,0,0.0,0.0,0.0,0.0253,HOLD,Within guardrails
Yahoo - US,Advanced,Cheap International DC,46,161.46,0,0.0,0.0,0.0,0.0155,HOLD,Within guardrails
Yahoo - US,Advanced,Cheap International Detroit,32,78.6,0,0.0,0.0,0.0,0.0435,HOLD,Within guardrails
Yahoo - US,Advanced,Cheap International Miami,24,94.82,0,0.0,0.0,0.0,0.0278,HOLD,Within guardrails
Yahoo - US,Advanced,Cheap International Philadelphia,36,110.14,0,0.0,0.0,0.0,0.0337,HOLD,Within guardrails
Yahoo - US,Advanced,Europe Chicago,41,98.4,0,0.0,0.0,0.0,0.1126,HOLD,Within guardrails
Yahoo - US,Advanced,Greece,39,124.47,0,0.0,0.0,0.0,0.0144,HOLD,Within guardrails
Yahoo - US,Advanced,International Houston,45,109.39,0,0.0,0.0,0.0,0.0234,HOLD,Within guardrails
Yahoo - US,Advanced,Venice,47,68.11,0,0.0,0.0,0.0,0.0063,HOLD,Within guardrails
Yahoo - US,Standard,Marseille,25,38.34,0,0.0,0.0,0.0,0.012,HOLD,Within guardrails
Yahoo - US,Standard,Paris Branded,32,11.14,0,0.0,0.0,0.0,0.1103,HOLD,Within guardrails
Yahoo - US,Advanced,Low International DC,1,0.62,1,1574.2,2518.72,1.0,0.1667,HOLD_LOW_DATA,Low volume
Google - US,Broad,Google|rabat,11,14.07,1,1402.5,99.6448,0.0909,0.0305,HOLD_LOW_DATA,Low volume
Google - US,Broad,Philadelphia to Paris Sale,17,36.79,1,434.35,11.807,0.0588,0.0817,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Basel,1,1.39,0,0.0,0.0,0.0,0.04,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Bologna,3,11.25,0,0.0,0.0,0.0,0.05,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Bucharest,9,28.14,0,0.0,0.0,0.0,0.0425,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Budapest,19,88.4,0,0.0,0.0,0.0,0.0345,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Copenhagen,8,23.26,0,0.0,0.0,0.0,0.0281,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Dusseldorf,5,19.59,0,0.0,0.0,0.0,0.0218,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Genoa,2,3.0,0,0.0,0.0,0.0,0.0833,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Glasgow,3,4.89,0,0.0,0.0,0.0,0.0118,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Gothenburg,2,11.8,0,0.0,0.0,0.0,0.3333,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Helsinki,5,12.49,0,0.0,0.0,0.0,0.0746,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Krakow,3,5.1,0,0.0,0.0,0.0,0.0508,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Lisbon,8,11.07,0,0.0,0.0,0.0,0.0381,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Manchester,5,10.02,0,0.0,0.0,0.0,0.0037,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Naples,4,7.58,0,0.0,0.0,0.0,0.0253,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Oslo,4,10.71,0,0.0,0.0,0.0,0.0305,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Pisa,5,12.65,0,0.0,0.0,0.0,0.0758,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Southampton,1,1.56,0,0.0,0.0,0.0,0.0056,HOLD_LOW_DATA,Low volume
Google - Global,Broad,St. Petersburg,3,12.22,0,0.0,0.0,0.0,0.0165,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Stockholm,3,5.69,0,0.0,0.0,0.0,0.0113,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Strasbourg,14,25.94,0,0.0,0.0,0.0,0.0103,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Venice,17,51.99,0,0.0,0.0,0.0,0.0207,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Vienna,9,35.29,0,0.0,0.0,0.0,0.0078,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Warsaw,2,2.59,0,0.0,0.0,0.0,0.0088,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Zagreb,3,8.09,0,0.0,0.0,0.0,0.0423,HOLD_LOW_DATA,Low volume
Google - Global,,Air France,7,2.59,0,0.0,0.0,0.0,0.0011,HOLD_LOW_DATA,Low volume
Google - Global,,Air France Website,10,2.38,0,0.0,0.0,0.0,0.0116,HOLD_LOW_DATA,Low volume
Google - Global,,Bordeaux,1,0.28,0,0.0,0.0,0.0,0.0053,HOLD_LOW_DATA,Low volume
Google - Global,,Lyon,1,0.26,0,0.0,0.0,0.0,0.0122,HOLD_LOW_DATA,Low volume
Google - Global,,Nice,2,0.57,0,0.0,0.0,0.0,0.0004,HOLD_LOW_DATA,Low volume
Google - Global,,Paris,5,1.94,0,0.0,0.0,0.0,0.0019,HOLD_LOW_DATA,Low volume
Google - US,Broad,Airfrance Deal Boston,1,1.23,0,0.0,0.0,0.0,0.0714,HOLD_LOW_DATA,Low volume
Google - US,Broad,Airfrance Deal DC,2,2.17,0,0.0,0.0,0.0,0.5,HOLD_LOW_DATA,Low volume
Google - US,Broad,Airfrance Deal Detroit,3,1.69,0,0.0,0.0,0.0,0.75,HOLD_LOW_DATA,Low volume
Google - US,Broad,Airfrance Deal Los Angeles,1,0.49,0,0.0,0.0,0.0,1.0,HOLD_LOW_DATA,Low volume
Google - US,Broad,Airfrance Deal New York,3,3.47,0,0.0,0.0,0.0,0.1034,HOLD_LOW_DATA,Low volume
Google - US,Broad,Athens Branded,10,11.03,0,0.0,0.0,0.0,0.1299,HOLD_LOW_DATA,Low volume
Google - US,Broad,Bordeaux Branded,13,33.81,0,0.0,0.0,0.0,0.0663,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Athens Sale,4,8.09,0,0.0,0.0,0.0,0.0392,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Barcelona Sale,3,7.09,0,0.0,0.0,0.0,0.0938,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Florence Sale,1,1.27,0,0.0,0.0,0.0,0.5,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Greece Sale,1,1.25,0,0.0,0.0,0.0,0.25,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Italy Sale,11,19.5,0,0.0,0.0,0.0,0.055,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Madrid Sale,5,10.57,0,0.0,0.0,0.0,0.0943,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Milan Sale,2,6.05,0,0.0,0.0,0.0,0.125,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Naples Sale,1,1.06,0,0.0,0.0,0.0,0.1667,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Seville Sale,2,5.09,0,0.0,0.0,0.0,1.0,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Spain Sale,2,3.64,0,0.0,0.0,0.0,0.0357,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Venice Sale,3,7.33,0,0.0,0.0,0.0,0.6,HOLD_LOW_DATA,Low volume
Google - US,Broad,Cheap Europe Boston,12,26.82,0,0.0,0.0,0.0,0.2553,HOLD_LOW_DATA,Low volume
Google - US,Broad,Cheap Europe DC,9,21.66,0,0.0,0.0,0.0,0.125,HOLD_LOW_DATA,Low volume
